Month,Gas Price,Oil Price,Temperature in Tokyo,Variation From Mean,Temperature in LA,Variation From Mean (LA)
Aug-13,3.43,111.28,26.364,6.364,24.232,0.768
Jul-13,3.62,107.93,24.645,4.645,25.09,0.09
Jun-13,3.83,102.92,20.927,0.927,22.434,2.566
May-13,4.04,102.56,16.757,3.243,19.028,5.972
Apr-13,4.17,102.25,11.31,8.69,15.921,9.079
Mar-13,3.81,108.47,7.955,12.045,14.463,10.537
Feb-13,3.33,116.05,2.046,17.954,9.804,15.196
Jan-13,3.33,112.96,1.288,18.712,8.813,16.187
Dec-12,3.34,109.49,2.961,17.039,8.712,16.288
Nov-12,3.54,109.06,8.718,11.282,13.903,11.097
Oct-12,3.32,111.71,15.722,4.278,18.712,6.288
Sep-12,2.85,112.86,23.275,3.275,24.745,0.255
Aug-12,2.84,113.36,26.681,6.681,26.892,1.892
Jul-12,2.95,102.62,24.444,4.444,23.851,1.149
Jun-12,2.46,95.16,19.359,0.641,21.066,3.934
May-12,2.43,110.34,16.67,3.33,18.677,6.323
Apr-12,1.95,119.75,11.355,8.645,14.751,10.249
Mar-12,2.17,125.45,5.617,14.383,11.576,13.424
Feb-12,2.51,119.33,1.842,18.158,10.609,14.391
Jan-12,2.67,110.69,0.715,19.285,11.581,13.419
Dec-11,3.17,107.87,3.25,16.75,8.868,16.132
Nov-11,3.24,110.77,10.803,9.197,11.643,13.357
Oct-11,3.57,109.55,15.488,4.512,18.244,6.756
Sep-11,3.9,112.83,22.199,2.199,22.728,2.272
Aug-11,4.06,110.22,25.202,5.202,24.567,0.433
Jul-11,4.42,116.97,25.288,5.288,23.987,1.013
Jun-11,4.54,113.83,21.085,1.085,19.339,5.661
May-11,4.31,114.99,16.147,3.853,15.729,9.271
Apr-11,4.24,123.26,11.175,8.825,14.217,10.783
Mar-11,3.97,114.64,4.674,15.326,11.985,13.015
Feb-11,4.09,103.72,3.734,16.266,8.759,16.241
Jan-11,4.49,96.52,0.817,19.183,10.432,14.568
Dec-10,4.25,91.45,5.719,14.281,10.237,14.763
Nov-10,3.71,85.28,9.515,10.485,12.114,12.886
Oct-10,3.43,82.67,15.881,4.119,16.91,8.09
Sep-10,3.89,77.84,22.414,2.414,22.42,2.58
Aug-10,4.32,77.04,27.295,7.295,23.545,1.455
Jul-10,4.63,75.58,25.558,5.558,23.636,1.364
Jun-10,4.8,74.76,21.521,1.521,20.724,4.276
May-10,4.14,75.95,16.337,3.663,15.895,9.105
Apr-10,4.03,84.82,9.589,10.411,12.283,12.717
Mar-10,4.29,78.83,6.103,13.897,12.437,12.563
Feb-10,5.32,73.75,3.306,16.694,10.353,14.647
Jan-10,5.83,76.17,2.608,17.392,10.09,14.91
Dec-09,5.35,74.46,4.895,15.105,8.519,16.481
Nov-09,3.66,76.66,9.835,10.165,13.778,11.222
Oct-09,4.01,72.77,15.161,4.839,16.638,8.362
Sep-09,2.99,67.65,20.272,0.272,24.265,0.735
Aug-09,3.14,72.51,24.193,4.193,24.384,0.616
Jul-09,3.38,64.44,23.875,3.875,25.717,0.717
Jun-09,3.8,68.61,20.318,0.318,19.307,5.693
May-09,3.83,57.3,17.633,2.367,20.035,4.965
Apr-09,3.5,50.18,12.56,7.44,13.968,11.032
Mar-09,3.96,46.54,6.678,13.322,11.996,13.004
Feb-09,4.52,43.32,4.269,15.731,9.635,15.365
Jan-09,5.24,43.44,2.864,17.136,11.882,13.118
Dec-08,5.82,39.95,5.43,14.57,8.488,16.512
Nov-08,6.68,52.45,9.247,10.753,15.323,9.677
Oct-08,6.74,71.58,15.746,4.254,19.398,5.602
Sep-08,7.67,97.23,21.323,1.323,23.37,1.63
Aug-08,8.26,113.24,24.506,4.506,25.232,0.232
Jul-08,11.09,132.72,24.848,4.848,25.032,0.032
Jun-08,12.69,132.32,19.392,0.608,23.12,1.88
May-08,11.27,122.8,16.164,3.836,17.135,7.865
Apr-08,10.18,109.07,12.028,7.972,14.928,10.072
Mar-08,9.41,103.64,7.501,12.499,13.466,11.534
Feb-08,8.54,94.99,1.674,18.326,10.489,14.511
Jan-08,7.99,92.18,1.869,18.131,8.196,16.804
Dec-07,7.11,90.93,4.725,15.275,8.198,16.802
Nov-07,7.1,92.41,9.304,10.696,14.4,10.6
Oct-07,6.74,82.34,15.334,4.666,17.295,7.705
Sep-07,6.08,77.17,22.578,2.578,20.896,4.104
Aug-07,6.22,70.76,26.36,6.36,25.406,0.406
Jul-07,6.22,76.93,22.167,2.167,25.265,0.265
Jun-07,7.35,71.05,20.837,0.837,21.846,3.154
May-07,7.64,67.21,16.878,3.122,18.107,6.893
Apr-07,7.6,67.49,10.628,9.372,14.889,10.111
Mar-07,7.11,62.05,7.174,12.826,14.809,10.191
Feb-07,8,57.56,4.868,15.132,10.897,14.103
Jan-07,6.55,53.68,3.323,16.677,8.391,16.609
Dec-06,6.73,62.47,5.187,14.813,10.042,14.958
Nov-06,7.41,58.76,10.37,9.63,14.687,10.313
Oct-06,5.85,57.81,16.147,3.853,16.433,8.567
Sep-06,4.9,61.96,20.793,0.793,22.201,2.799
Aug-06,7.14,73.23,25.503,5.503,23.75,1.25
Jul-06,6.17,73.67,23.176,3.176,27.336,2.336
Jun-06,6.21,68.56,20.363,0.363,23.596,1.404
May-06,6.25,69.78,16.483,3.517,18.585,6.415
Apr-06,7.16,70.26,10.678,9.322,12.352,12.648
Mar-06,6.89,62.06,6.321,13.679,8.862,16.138
Feb-06,7.54,60.21,3.292,16.708,11.787,13.213
Jan-06,8.69,62.99,1.052,18.948,9.846,15.154
Dec-05,13.05,56.86,1.585,18.415,10.846,14.154
Nov-05,10.3,55.24,8.857,11.143,14.585,10.415
Oct-05,13.42,58.54,15.911,4.089,16.959,8.041
Sep-05,11.75,62.91,22.075,2.075,20.165,4.835
Aug-05,9.53,63.98,25.567,5.567,24.71,0.29
Jul-05,7.63,57.52,23.463,3.463,25.676,0.676
Jun-05,7.18,54.35,21.476,1.476,19.417,5.583
May-05,6.47,48.65,15.379,4.621,18.048,6.952
Apr-05,7.16,51.88,12.135,7.865,13.724,11.276
Mar-05,6.96,53.1,5.344,14.656,12.568,12.432
Feb-05,6.14,45.48,2.326,17.674,10.609,14.391
Jan-05,6.15,44.51,1.728,18.272,9.87,15.13
Dec-04,6.58,39.6,5.545,14.455,9.833,15.167
Nov-04,6.17,43.11,11.446,8.554,11.019,13.981
Oct-04,6.35,49.78,14.292,5.708,15.98,9.02
Sep-04,5.15,43.2,22.198,2.198,22.644,2.356
Aug-04,5.41,42.74,24.476,4.476,23.95,1.05
Jul-04,5.93,38.22,25.975,5.975,24.514,0.486
Jun-04,6.27,35.18,21.453,1.453,21.176,3.824
May-04,6.33,37.57,17.274,2.726,18.805,6.195
Apr-04,5.71,33.59,13.145,6.855,15.78,9.22
Mar-04,5.39,33.63,6.466,13.534,16.214,8.786
Feb-04,5.37,30.86,4.399,15.601,9.131,15.869
Jan-04,6.14,31.28,1.898,18.102,9.588,15.412
Dec-03,6.13,29.81,4.719,15.281,9.382,15.618
Nov-03,4.47,28.75,11.183,8.817,11.117,13.883
Oct-03,4.63,29.61,14.056,5.944,20.549,4.451
Sep-03,4.62,27.11,21.429,1.429,23.8,1.2
Aug-03,4.99,29.89,23.813,3.813,25.593,0.593
Jul-03,5.03,28.35,20.805,0.805,26.222,1.222
Jun-03,5.82,27.65,20.775,0.775,20.554,4.446
May-03,5.81,25.86,16.532,3.468,17.437,7.563
Apr-03,5.26,25,12.088,7.912,11.778,13.222
Mar-03,5.93,30.61,5.273,14.727,13.295,11.705
Feb-03,7.71,32.77,2.789,17.211,10.117,14.883
Jan-03,5.43,31.18,1.164,18.836,13.492,11.508
Dec-02,4.74,28.33,3.008,16.992,9.071,15.929
Nov-02,4.04,24.34,7.103,12.897,14.662,10.338
Oct-02,4.13,27.54,14.95,5.05,16.111,8.889
Sep-02,3.55,28.4,20.241,0.241,23.122,1.878
Aug-02,3.09,26.65,25.631,5.631,23.666,1.334
Jul-02,2.99,25.74,25.685,5.685,24.784,0.216
Jun-02,3.26,24.08,19.479,0.521,21.497,3.503
May-02,3.5,25.35,16.117,3.883,17.152,7.848
Apr-02,3.43,25.73,13.205,6.795,14.147,10.853
Mar-02,3.03,23.7,8.548,11.452,11.748,13.252
Feb-02,2.32,20.28,4.092,15.908,12.181,12.819
Jan-02,2.32,19.42,3.005,16.995,9.022,15.978
Dec-01,2.3,18.71,3.731,16.269,8.814,16.186
Nov-01,2.34,18.8,8.923,11.077,13.474,11.526
Oct-01,2.46,20.54,14.846,5.154,18.867,6.133
Sep-01,2.19,25.62,20.184,0.184,22.663,2.337
Aug-01,2.97,25.68,24.092,4.092,24.774,0.226
Jul-01,3.11,24.61,26.326,6.326,23.242,1.758
Jun-01,3.72,27.85,20.659,0.659,22.561,2.439
May-01,4.19,28.31,17.246,2.754,20.431,4.569
Apr-01,5.19,25.66,12.373,7.627,12.61,12.39
Mar-01,5.23,24.5,6.038,13.962,13.284,11.716
Feb-01,5.61,27.5,2.519,17.481,8.477,16.523
Jan-01,8.17,25.62,0.573,19.427,8.398,16.602
Dec-00,8.9,25.66,4.245,15.755,11.62,13.38
Nov-00,5.52,32.55,9.572,10.428,10.97,14.03
Oct-00,5.02,30.96,15.197,4.803,15.903,9.097
Sep-00,5.06,33.14,22.005,2.005,21.951,3.049
Aug-00,4.43,30.2,25.843,5.843,25.053,0.053
Jul-00,3.99,28.68,25.214,5.214,23.573,1.427
Jun-00,4.29,29.8,20.396,0.396,22.524,2.476
May-00,3.59,27.74,17.261,2.739,19.073,5.927
Apr-00,3.04,22.76,11.155,8.845,15.684,9.316
Mar-00,2.79,27.49,5.709,14.291,12.335,12.665
Feb-00,2.66,27.78,1.765,18.235,10.262,14.738
Jan-00,2.42,25.51,3.66,16.34,10.772,14.228
Dec-99,2.36,25.47,4.3,15.7,10.869,14.131
Nov-99,2.37,24.58,10.089,9.911,14.12,10.88
Oct-99,2.73,22,15.653,4.347,19.895,5.105
Sep-99,2.55,22.54,23.245,3.245,21.591,3.409
Aug-99,2.8,20.22,26.137,6.137,23.553,1.447
Jul-99,2.31,19.08,24.101,4.101,23.745,1.255
Jun-99,2.3,15.86,20.73,0.73,20.005,4.995
May-99,2.26,15.23,17.287,2.713,16.506,8.494
Apr-99,2.15,15.29,11.929,8.071,12.037,12.963
Mar-99,1.79,12.51,7.061,12.939,10.381,14.619
Feb-99,1.77,10.27,2.6,17.4,10.192,14.808
Jan-99,1.85,11.11,2.248,17.752,10.527,14.473
Dec-98,1.72,9.82,4.925,15.075,9.1,15.9
Nov-98,2.12,11.04,9.608,10.392,12.175,12.825
Oct-98,1.91,12.7,16.631,3.369,16.382,8.618
Sep-98,2.02,13.34,22.011,2.011,20.96,4.04
Aug-98,1.85,11.91,24.76,4.76,26.454,1.454
Jul-98,2.17,12.08,23.529,3.529,24.621,0.379
Jun-98,2.17,12.21,19.637,0.363,18.412,6.588
May-98,2.14,14.36,18.142,1.858,14.185,10.815
Apr-98,2.43,13.53,13.943,6.057,12.064,12.936
Mar-98,2.24,13.1,6.786,13.214,11.73,13.27
Feb-98,2.23,14.07,3.507,16.493,8.666,16.334
Jan-98,2.09,15.19,1.395,18.605,9.699,15.301
Dec-97,2.35,17.18,5.018,14.982,8.604,16.396
Nov-97,3.01,19.17,10.416,9.584,13.461,11.539
Oct-97,3.07,19.87,14.466,5.534,17.388,7.612
Sep-97,2.88,18.46,20.169,0.169,23.86,1.14
Aug-97,2.49,18.6,24.894,4.894,24.856,0.144
Jul-97,2.19,18.46,24.45,4.45,23.381,1.619
Jun-97,2.2,17.58,20.645,0.645,20.787,4.213
May-97,2.25,19.02,16.711,3.289,21.206,3.794
Apr-97,2.03,17.56,12.224,7.776,15.129,9.871
Mar-97,1.89,19.13,7.09,12.91,14.564,10.436
Feb-97,2.15,20.85,3.087,16.913,10.506,14.494
Jan-97,3.45,23.54,2.028,17.972,9.437,15.563
